source,gear,win,arrive,done,dropped,cum_arrived,cum_done,cum_dropped,hit_n,empty_n,rt_hit_p50,rt_empty_p50,prep_hit_p50,prep_empty_p50,thermal,battC,bucketed
camera_sweep2.log,0,35,26.96,27.46,0,1822,1823,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,36,26.84,26.35,0,1877,1877,0,30,30,35.0,32.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,37,27.32,27.82,0,1932,1933,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,38,27.97,27.97,0,1988,1989,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,39,28.88,28.39,0,2046,2046,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,40,23.2,23.2,0,2093,2093,0,30,30,35.0,33.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,41,27.93,27.93,0,2149,2149,0,30,30,35.0,29.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,42,27.89,27.89,0,2205,2205,0,30,30,35.0,26.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,43,26.45,26.45,0,2258,2258,0,30,30,35.0,29.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,44,20.89,21.38,0,2300,2301,0,30,30,35.0,34.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,45,24.47,23.98,0,2350,2350,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,46,24.86,25.36,0,2400,2401,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,47,27.74,27.74,0,2456,2457,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,48,23.83,23.35,0,2505,2505,0,30,30,35.0,29.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,49,22.31,22.31,0,2550,2550,0,30,30,35.0,30.0,1.0,1.0,3,41.0,True
camera_sweep2.log,0,50,23.94,24.44,0,2598,2599,0,30,30,35.0,27.0,1.0,1.0,3,41.0,True
